Hr-Leitura	Dt-Leitura	Segundos96	Hr-Recepcao	Dt-Recepcao	Resets	      VAL-ChuvaAc[mm]	      MED-UmidAr[%UR]	       MED-TempAr[oC]	  MED-DirVento[graus]	    MED-VelVento[m/s]	   MED-RadSolar[W/m2]	     MED-TempSolo[oC]	     MED-PresAtm[hPa]	     VAL-TensaoRef[V]	     MED-TensaoRef[V]	     MIN-TensaoRef[V]	     MAX-TensaoRef[V]	     VAL-TensaoBat[V]	      VAL-CorCarga[A]	     VAL-UmidInt[%UR]	      VAL-TempInt[oC]
  00:00:00	01/06/2009	 423360000	   00:11:15	 01/06/2009	     0	        +2,00000e+001	        +9,65424e+001	        +1,74417e+001	        +6,41602e+000	        +7,98900e-001	        +0,00000e+000	        +1,89959e+001	        +8,98700e+002	        +2,50092e+000	        +2,50092e+000	        +2,50000e+000	        +2,50183e+000	        +1,25958e+001	        -1,40991e-002	        +7,06000e+001	        +1,96000e+001
  00:10:00	01/06/2009	 423360600	   00:11:15	 01/06/2009	     0	        +2,00000e+001	        +9,78622e+001	        +1,73273e+001	        +3,03508e+002	        +0,00000e+000	        +0,00000e+000	        +1,89874e+001	        +8,98626e+002	        +2,50092e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25977e+001	        -1,44043e-002	        +7,06000e+001	        +1,95800e+001
  00:20:00	01/06/2009	 423361200	   00:21:15	 01/06/2009	     0	        +2,00000e+001	        +9,68094e+001	        +1,74799e+001	        +9,07471e+000	        +0,00000e+000	        +0,00000e+000	        +1,89790e+001	        +8,98626e+002	        +2,50122e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25903e+001	        -1,37939e-002	        +7,06000e+001	        +1,95700e+001
  00:30:00	01/06/2009	 423361800	   00:31:15	 01/06/2009	     0	        +2,00000e+001	        +9,58252e+001	        +1,76096e+001	        +2,74065e+002	        +0,00000e+000	        +0,00000e+000	        +1,89705e+001	        +8,98443e+002	        +2,50122e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25885e+001	        -1,47095e-002	        +7,06000e+001	        +1,95800e+001
  00:40:00	01/06/2009	 423362400	   00:41:15	 01/06/2009	     0	        +2,00000e+001	        +9,50317e+001	        +1,77393e+001	        +2,83403e+002	        +7,98900e-001	        +0,00000e+000	        +1,89535e+001	        +8,98187e+002	        +2,50031e+000	        +2,50031e+000	        +2,50000e+000	        +2,50122e+000	        +1,25848e+001	        -1,44043e-002	        +7,06000e+001	        +1,95900e+001
  00:50:00	01/06/2009	 423363000	   00:51:15	 01/06/2009	     0	        +2,00000e+001	        +9,72443e+001	        +1,74417e+001	        +4,62524e+001	        +0,00000e+000	        +0,00000e+000	        +1,89451e+001	        +8,98260e+002	        +2,50092e+000	        +2,50092e+000	        +2,50061e+000	        +2,50122e+000	        +1,25848e+001	        -1,37939e-002	        +7,06000e+001	        +1,95800e+001
  01:00:00	01/06/2009	 423363600	   01:01:15	 01/06/2009	     0	        +2,00000e+001	        +9,51080e+001	        +1,75485e+001	        +6,29956e+001	        +0,00000e+000	        +0,00000e+000	        +1,89281e+001	        +8,98114e+002	        +2,50061e+000	        +2,50092e+000	        +2,50061e+000	        +2,50153e+000	        +1,25757e+001	        -1,40991e-002	        +7,06000e+001	        +1,95700e+001
  01:10:00	01/06/2009	 423364200	   01:11:15	 01/06/2009	     0	        +2,00000e+001	        +9,47342e+001	        +1,76782e+001	        +1,63257e+001	        +0,00000e+000	        +0,00000e+000	        +1,89196e+001	        +8,98041e+002	        +2,50092e+000	        +2,50061e+000	        +2,50000e+000	        +2,50122e+000	        +1,25757e+001	        -1,34888e-002	        +7,06000e+001	        +1,95700e+001
  01:20:00	01/06/2009	 423364800	   01:21:15	 01/06/2009	     0	        +2,00000e+001	        +9,63745e+001	        +1,74112e+001	        +1,45898e+002	        +0,00000e+000	        +0,00000e+000	        +1,89027e+001	        +8,97784e+002	        +2,50031e+000	        +2,50061e+000	        +2,50031e+000	        +2,50122e+000	        +1,25757e+001	        -1,37939e-002	        +7,06000e+001	        +1,95600e+001
  01:30:00	01/06/2009	 423365400	   01:31:15	 01/06/2009	     0	        +2,00000e+001	        +9,68018e+001	        +1,74036e+001	        +1,66772e+002	        +0,00000e+000	        +0,00000e+000	        +1,88857e+001	        +8,98077e+002	        +2,50122e+000	        +2,50061e+000	        +2,50000e+000	        +2,50122e+000	        +1,25757e+001	        -1,47095e-002	        +7,06000e+001	        +1,95500e+001
  01:40:00	01/06/2009	 423366000	   01:41:15	 01/06/2009	     0	        +2,00000e+001	        +9,81979e+001	        +1,71365e+001	        +2,70593e+002	        +0,00000e+000	        +0,00000e+000	        +1,88688e+001	        +8,98004e+002	        +2,50092e+000	        +2,50092e+000	        +2,50000e+000	        +2,50153e+000	        +1,25684e+001	        -1,44043e-002	        +7,06000e+001	        +1,95400e+001
  01:50:00	01/06/2009	 423366600	   01:51:15	 01/06/2009	     0	        +2,00000e+001	        +9,69772e+001	        +1,73578e+001	        +5,03613e+001	        +0,00000e+000	        +0,00000e+000	        +1,88688e+001	        +8,97821e+002	        +2,50122e+000	        +2,50061e+000	        +2,50000e+000	        +2,50122e+000	        +1,25665e+001	        -1,47095e-002	        +7,06000e+001	        +1,95100e+001
  02:00:00	01/06/2009	 423367200	   02:01:15	 01/06/2009	     0	        +2,00000e+001	        +9,54208e+001	        +1,75027e+001	        +1,97666e+002	        +7,98900e-001	        +0,00000e+000	        +1,88518e+001	        +8,97857e+002	        +2,50092e+000	        +2,50092e+000	        +2,50000e+000	        +2,50122e+000	        +1,25592e+001	        -1,44043e-002	        +7,05000e+001	        +1,95000e+001
  02:10:00	01/06/2009	 423367800	   02:11:15	 01/06/2009	     0	        +2,00000e+001	        +9,18045e+001	        +1,80139e+001	        +2,23682e+002	        +0,00000e+000	        +0,00000e+000	        +1,88433e+001	        +8,97748e+002	        +2,50061e+000	        +2,50092e+000	        +2,50061e+000	        +2,50153e+000	        +1,25555e+001	        -1,44043e-002	        +7,05000e+001	        +1,95400e+001
  02:20:00	01/06/2009	 423368400	   02:21:15	 01/06/2009	     0	        +2,00000e+001	        +9,25217e+001	        +1,78461e+001	        +2,13047e+002	        +0,00000e+000	        +0,00000e+000	        +1,88264e+001	        +8,97638e+002	        +2,50122e+000	        +2,50092e+000	        +2,50000e+000	        +2,50153e+000	        +1,25537e+001	        -1,37939e-002	        +7,06000e+001	        +1,95700e+001
  02:30:00	01/06/2009	 423369000	   02:31:15	 01/06/2009	     0	        +2,00000e+001	        +9,10416e+001	        +1,80444e+001	        +5,85132e+001	        +0,00000e+000	        +0,00000e+000	        +1,88264e+001	        +8,97711e+002	        +2,50122e+000	        +2,50061e+000	        +2,50000e+000	        +2,50122e+000	        +1,25574e+001	        -1,50146e-002	        +7,06000e+001	        +1,96000e+001
  02:40:00	01/06/2009	 423369600	   02:41:15	 01/06/2009	     0	        +2,00000e+001	        +9,28497e+001	        +1,78537e+001	        +6,96973e+001	        +7,98900e-001	        +0,00000e+000	        +1,88094e+001	        +8,97674e+002	        +2,50000e+000	        +2,50031e+000	        +2,50000e+000	        +2,50122e+000	        +1,25500e+001	        -1,34888e-002	        +7,06000e+001	        +1,96200e+001
  02:50:00	01/06/2009	 423370200	   02:51:15	 01/06/2009	     0	        +2,00000e+001	        +9,25446e+001	        +1,77621e+001	        +2,19946e+001	        +7,98900e-001	        +0,00000e+000	        +1,88009e+001	        +8,97711e+002	        +2,50092e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25464e+001	        -1,40991e-002	        +7,06000e+001	        +1,96200e+001
  03:00:00	01/06/2009	 423370800	   03:01:15	 01/06/2009	     0	        +2,00000e+001	        +9,24377e+001	        +1,77469e+001	        +2,82041e+002	        +7,98900e-001	        +0,00000e+000	        +1,87840e+001	        +8,97711e+002	        +2,50122e+000	        +2,50092e+000	        +2,50031e+000	        +2,50153e+000	        +1,25446e+001	        -1,40991e-002	        +7,06000e+001	        +1,95900e+001
  03:10:00	01/06/2009	 423371400	   03:11:15	 01/06/2009	     0	        +2,00000e+001	        +9,35669e+001	        +1,76248e+001	        +1,93359e+001	        +7,98900e-001	        +0,00000e+000	        +1,87755e+001	        +8,97564e+002	        +2,50031e+000	        +2,50061e+000	        +2,50031e+000	        +2,50122e+000	        +1,25427e+001	        -1,40991e-002	        +7,06000e+001	        +1,96000e+001
  03:20:00	01/06/2009	 423372000	   03:21:15	 01/06/2009	     0	        +2,00000e+001	        +9,32846e+001	        +1,75485e+001	        +5,26465e+001	        +7,98900e-001	        +0,00000e+000	        +1,87586e+001	        +8,97528e+002	        +2,50000e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25372e+001	        -1,44043e-002	        +7,06000e+001	        +1,95700e+001
  03:30:00	01/06/2009	 423372600	   03:31:15	 01/06/2009	     0	        +2,00000e+001	        +9,38339e+001	        +1,75256e+001	        +2,33262e+002	        +0,00000e+000	        +0,00000e+000	        +1,87416e+001	        +8,97601e+002	        +2,50061e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,25391e+001	        -1,40991e-002	        +7,06000e+001	        +1,95800e+001
  03:40:00	01/06/2009	 423373200	   03:41:15	 01/06/2009	     0	        +2,00000e+001	        +9,61533e+001	        +1,72052e+001	        +1,36318e+002	        +0,00000e+000	        +0,00000e+000	        +1,87331e+001	        +8,97528e+002	        +2,50092e+000	        +2,50061e+000	        +2,50031e+000	        +2,50153e+000	        +1,25336e+001	        -1,44043e-002	        +7,06000e+001	        +1,95300e+001
