Hr-Leitura	Dt-Leitura	Segundos96	Hr-Recepcao	Dt-Recepcao	Resets	      VAL-ChuvaAc[mm]	      MED-UmidAr[%UR]	       MED-TempAr[oC]	  MED-DirVento[graus]	    MED-VelVento[m/s]	   MED-RadSolar[W/m2]	     MED-TempSolo[oC]	     MED-PresAtm[hPa]	     VAL-TensaoRef[V]	     MED-TensaoRef[V]	     MIN-TensaoRef[V]	     MAX-TensaoRef[V]	     VAL-TensaoBat[V]	      VAL-CorCarga[A]	     VAL-UmidInt[%UR]	      VAL-TempInt[oC]
  00:00:00	01/04/2014	 575856000	   00:12:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,82275e+001	        +2,24956e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17926e+002	        +2,50122e+000	        +2,50061e+000	        +2,50031e+000	        +2,50153e+000	        +1,29712e+001	        -1,31836e-002	        +6,04000e+001	        +2,06000e+001
  00:10:00	01/04/2014	 575856600	   00:12:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,82199e+001	        +2,44907e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17962e+002	        +2,50122e+000	        +2,50061e+000	        +2,50031e+000	        +2,50122e+000	        +1,29822e+001	        -1,34888e-002	        +6,04000e+001	        +2,06000e+001
  00:20:00	01/04/2014	 575857200	   00:22:37	 01/04/2014	     0	        +3,61000e+002	        +1,00113e+002	        +1,82123e+001	        +2,08740e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17853e+002	        +2,49969e+000	        +2,50061e+000	        +2,49969e+000	        +2,50183e+000	        +1,29712e+001	        -1,40991e-002	        +6,04000e+001	        +2,05600e+001
  00:30:00	01/04/2014	 575857800	   00:32:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,82275e+001	        +2,56685e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17706e+002	        +2,50031e+000	        +2,50092e+000	        +2,50031e+000	        +2,50214e+000	        +1,29657e+001	        -1,31836e-002	        +6,04000e+001	        +2,05600e+001
  00:40:00	01/04/2014	 575858400	   00:42:37	 01/04/2014	     0	        +3,61000e+002	        +1,00113e+002	        +1,83115e+001	        +2,58047e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17523e+002	        +2,50153e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,29620e+001	        -1,37939e-002	        +6,04000e+001	        +2,05900e+001
  00:50:00	01/04/2014	 575859000	   00:52:37	 01/04/2014	     0	        +3,61000e+002	        +1,00121e+002	        +1,82275e+001	        +2,73098e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17376e+002	        +2,50183e+000	        +2,50061e+000	        +2,49969e+000	        +2,50214e+000	        +1,29547e+001	        -1,34888e-002	        +6,04000e+001	        +2,06000e+001
  01:00:00	01/04/2014	 575859600	   01:02:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,81665e+001	        +2,45303e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17267e+002	        +2,50122e+000	        +2,50061e+000	        +2,49908e+000	        +2,50153e+000	        +1,29565e+001	        -1,40991e-002	        +6,04000e+001	        +2,05900e+001
  01:10:00	01/04/2014	 575860200	   01:12:37	 01/04/2014	     0	        +3,61000e+002	        +1,00113e+002	        +1,81131e+001	        +2,56069e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,17083e+002	        +2,50061e+000	        +2,50061e+000	        +2,49908e+000	        +2,50214e+000	        +1,29565e+001	        -1,50146e-002	        +6,04000e+001	        +2,05600e+001
  01:20:00	01/04/2014	 575860800	   01:22:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,81589e+001	        +2,44446e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,16937e+002	        +2,50031e+000	        +2,50061e+000	        +2,50000e+000	        +2,50153e+000	        +1,29437e+001	        -1,34888e-002	        +6,04000e+001	        +2,05300e+001
  01:30:00	01/04/2014	 575861400	   01:32:37	 01/04/2014	     0	        +3,61000e+002	        +1,00105e+002	        +1,80826e+001	        +2,21089e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,16900e+002	        +2,50092e+000	        +2,50061e+000	        +2,50031e+000	        +2,50153e+000	        +1,29456e+001	        -1,31836e-002	        +6,04000e+001	        +2,05300e+001
  01:40:00	01/04/2014	 575862000	   01:42:37	 01/04/2014	     0	        +3,61000e+002	        +1,00113e+002	        +1,80902e+001	        +2,57783e+002	        +0,00000e+000	        +0,00000e+000	        +1,21077e+002	        +9,16827e+002	        +2,50000e+000	        +2,50092e+000	        +2,50000e+000	        +2,50153e+000	        +1,29382e+001	        -1,34888e-002	        +6,04000e+001	        +2,04800e+001
