Hr-Leitura	Dt-Leitura	Segundos96	Hr-Recepcao	Dt-Recepcao	Resets	      VAL-ChuvaAc[mm]	      MED-UmidAr[%UR]	       MED-TempAr[oC]	  MED-DirVento[graus]	    MED-VelVento[m/s]	   MED-RadSolar[W/m2]	     MED-TempSolo[oC]	     MED-PresAtm[hPa]	     VAL-TensaoRef[V]	     MED-TensaoRef[V]	     MIN-TensaoRef[V]	     MAX-TensaoRef[V]	     VAL-TensaoBat[V]	      VAL-CorCarga[A]	     VAL-UmidInt[%UR]	      VAL-TempInt[oC]
  00:00:00	01/11/2013	 562809600	   00:11:33	 01/11/2013	     4	        +4,50000e+000	        +1,00121e+002	        +1,41840e+001	        +2,47280e+002	        +0,00000e+000	        +0,00000e+000	        -1,77015e+001	        +9,19208e+002	        +2,50214e+000	        +2,50122e+000	        +2,50061e+000	        +2,50214e+000	        +1,23083e+001	        -1,31836e-002	        +6,05000e+001	        +1,71400e+001
  00:10:00	01/11/2013	 562810200	   00:11:33	 01/11/2013	     4	        +4,50000e+000	        +1,00121e+002	        +1,43900e+001	        +1,83010e+002	        +0,00000e+000	        +0,00000e+000	        +7,48400e+000	        +9,19134e+002	        +2,50183e+000	        +2,50061e+000	        +2,50000e+000	        +2,50183e+000	        +1,23047e+001	        -1,25732e-002	        +6,05000e+001	        +1,71200e+001
  00:20:00	01/11/2013	 562810800	   00:21:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,41534e+001	        +2,61694e+002	        +7,98900e-001	        +0,00000e+000	        -1,77693e+001	        +9,19061e+002	        +2,50031e+000	        +2,50092e+000	        +2,50031e+000	        +2,50183e+000	        +1,22992e+001	        -1,34888e-002	        +6,05000e+001	        +1,71000e+001
  00:30:00	01/11/2013	 562811400	   00:31:33	 01/11/2013	     4	        +4,50000e+000	        +1,00121e+002	        +1,41077e+001	        +2,49368e+002	        +7,98900e-001	        +0,00000e+000	        -5,15537e+000	        +9,18951e+002	        +2,50000e+000	        +2,50092e+000	        +2,50000e+000	        +2,50183e+000	        +1,22974e+001	        -1,16577e-002	        +6,05000e+001	        +1,70800e+001
  00:40:00	01/11/2013	 562812000	   00:41:33	 01/11/2013	     4	        +4,50000e+000	        +1,00121e+002	        +1,42297e+001	        +2,56223e+002	        +0,00000e+000	        +0,00000e+000	        -1,77439e+001	        +9,18768e+002	        +2,50061e+000	        +2,50092e+000	        +2,50031e+000	        +2,50153e+000	        +1,22937e+001	        -1,25732e-002	        +6,05000e+001	        +1,70500e+001
  00:50:00	01/11/2013	 562812600	   00:51:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,41153e+001	        +2,57498e+002	        +0,00000e+000	        +0,00000e+000	        -1,77693e+001	        +9,18622e+002	        +2,50122e+000	        +2,50061e+000	        +2,50031e+000	        +2,50183e+000	        +1,22937e+001	        -1,31836e-002	        +6,06000e+001	        +1,70400e+001
  01:00:00	01/11/2013	 562813200	   01:01:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,40466e+001	        +3,16494e+002	        +0,00000e+000	        +0,00000e+000	        -5,14690e+000	        +9,18402e+002	        +2,50153e+000	        +2,50092e+000	        +2,50031e+000	        +2,50214e+000	        +1,22864e+001	        -1,25732e-002	        +6,05000e+001	        +1,70900e+001
  01:10:00	01/11/2013	 562813800	   01:11:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,41229e+001	        +3,46289e+002	        +0,00000e+000	        +0,00000e+000	        -1,77778e+001	        +9,18182e+002	        +2,50031e+000	        +2,50092e+000	        +2,50031e+000	        +2,50183e+000	        +1,22809e+001	        -1,22681e-002	        +6,05000e+001	        +1,71300e+001
  01:20:00	01/11/2013	 562814400	   01:21:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,39703e+001	        +2,50159e+002	        +0,00000e+000	        +0,00000e+000	        -1,77778e+001	        +9,18219e+002	        +2,50031e+000	        +2,50092e+000	        +2,50000e+000	        +2,50214e+000	        +1,22772e+001	        -1,34888e-002	        +6,05000e+001	        +1,70800e+001
  01:30:00	01/11/2013	 562815000	   01:31:33	 01/11/2013	     4	        +4,50000e+000	        +1,00121e+002	        +1,40390e+001	        +2,49346e+002	        +0,00000e+000	        +0,00000e+000	        -1,77693e+001	        +9,18036e+002	        +2,50122e+000	        +2,50061e+000	        +2,50031e+000	        +2,50214e+000	        +1,22772e+001	        -1,31836e-002	        +6,05000e+001	        +1,70500e+001
  01:40:00	01/11/2013	 562815600	   01:41:33	 01/11/2013	     4	        +4,50000e+000	        +1,00128e+002	        +1,41458e+001	        +9,82178e+000	        +0,00000e+000	        +0,00000e+000	        -1,77693e+001	        +9,18036e+002	        +2,50183e+000	        +2,50092e+000	        +2,50061e+000	        +2,50214e+000	        +1,22809e+001	        -1,25732e-002	        +6,05000e+001	        +1,70300e+001
  01:50:00	01/11/2013	 562816200	   01:51:33	 01/11/2013	     4	        +4,50000e+000	        +1,00128e+002	        +1,41763e+001	        +3,49189e+002	        +0,00000e+000	        +0,00000e+000	        -5,14690e+000	        +9,17999e+002	        +2,50122e+000	        +2,50122e+000	        +2,50061e+000	        +2,50214e+000	        +1,22699e+001	        -1,34888e-002	        +6,05000e+001	        +1,70900e+001
  02:00:00	01/11/2013	 562816800	   02:01:33	 01/11/2013	     4	        +4,50000e+000	        +1,00113e+002	        +1,42374e+001	        +2,82678e+002	        +0,00000e+000	        +0,00000e+000	        -5,15537e+000	        +9,17999e+002	        +2,50061e+000	        +2,50092e+000	        +2,50000e+000	        +2,50214e+000	        +1,22717e+001	        -1,28784e-002	        +6,05000e+001	        +1,71100e+001
