Hr-Leitura	Dt-Leitura	Segundos96	Hr-Recepcao	Dt-Recepcao	Resets	      VAL-ChuvaAc[mm]	      MED-UmidAr[%UR]	       MED-TempAr[oC]	  MED-DirVento[graus]	    MED-VelVento[m/s]	   MED-RadSolar[W/m2]	     MED-TempSolo[oC]	     MED-PresAtm[hPa]	     VAL-TensaoRef[V]	     MED-TensaoRef[V]	     MIN-TensaoRef[V]	     MAX-TensaoRef[V]	     VAL-TensaoBat[V]	      VAL-CorCarga[A]	     VAL-UmidInt[%UR]	      VAL-TempInt[oC]
  00:00:00	01/06/2019	 738892800	   23:53:36	 31/05/2019	     3	        +0,00000e+000	        +1,00121e+002	        +1,62210e+001	        +2,79229e+002	        +0,00000e+000	        +5,75311e+000	        +6,56000e+000	        +9,14410e+002	        +2,50000e+000	        +2,50122e+000	        +2,50000e+000	        +2,50214e+000	        +1,27094e+001	        -1,34888e-002	        +6,32000e+001	        +1,90500e+001
  00:10:00	01/06/2019	 738893400	   00:03:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,62134e+001	        +2,79075e+002	        +0,00000e+000	        +5,75311e+000	        +6,31416e+000	        +9,14447e+002	        +2,50183e+000	        +2,50092e+000	        +2,49969e+000	        +2,50214e+000	        +1,27075e+001	        -1,31836e-002	        +6,32000e+001	        +1,89600e+001
  00:20:00	01/06/2019	 738894000	   00:13:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,60684e+001	        +2,79229e+002	        +0,00000e+000	        +5,75311e+000	        +6,00051e+000	        +9,14190e+002	        +2,50061e+000	        +2,50122e+000	        +2,50000e+000	        +2,50214e+000	        +1,27020e+001	        -1,28784e-002	        +6,33000e+001	        +1,88600e+001
  00:30:00	01/06/2019	 738894600	   00:23:28	 01/06/2019	     3	        +0,00000e+000	        +1,00113e+002	        +1,59464e+001	        +2,79185e+002	        +0,00000e+000	        +5,75311e+000	        +5,04259e+000	        +9,14227e+002	        +2,50214e+000	        +2,50122e+000	        +2,50061e+000	        +2,50214e+000	        +1,27002e+001	        -1,34888e-002	        +6,33000e+001	        +1,87500e+001
  00:40:00	01/06/2019	 738895200	   00:33:28	 01/06/2019	     3	        +0,00000e+000	        +1,00098e+002	        +1,59464e+001	        +2,79141e+002	        +0,00000e+000	        +7,67081e+000	        +4,24574e+000	        +9,14300e+002	        +2,50183e+000	        +2,50122e+000	        +2,50061e+000	        +2,50214e+000	        +1,26929e+001	        -1,34888e-002	        +6,33000e+001	        +1,86900e+001
  00:50:00	01/06/2019	 738895800	   00:43:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,58701e+001	        +2,78965e+002	        +0,00000e+000	        +5,75311e+000	        +4,00839e+000	        +9,14300e+002	        +2,50153e+000	        +2,50122e+000	        +2,50031e+000	        +2,50214e+000	        +1,26947e+001	        -1,28784e-002	        +6,33000e+001	        +1,86000e+001
  01:00:00	01/06/2019	 738896400	   00:53:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,58777e+001	        +2,79119e+002	        +0,00000e+000	        +7,67081e+000	        +5,08498e+000	        +9,14190e+002	        +2,50153e+000	        +2,50092e+000	        +2,50031e+000	        +2,50214e+000	        +1,26910e+001	        -1,28784e-002	        +6,33000e+001	        +1,85400e+001
  01:10:00	01/06/2019	 738897000	   01:03:28	 01/06/2019	     3	        +0,00000e+000	        +1,00113e+002	        +1,58701e+001	        +2,79163e+002	        +0,00000e+000	        +5,75311e+000	        +2,59271e+000	        +9,13971e+002	        +2,50122e+000	        +2,50092e+000	        +2,50031e+000	        +2,50214e+000	        +1,26874e+001	        -1,28784e-002	        +6,33000e+001	        +1,84800e+001
  01:20:00	01/06/2019	 738897600	   01:13:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,56946e+001	        +2,79097e+002	        +0,00000e+000	        +7,67081e+000	        +2,65205e+000	        +9,13751e+002	        +2,50061e+000	        +2,50092e+000	        +2,50031e+000	        +2,50214e+000	        +1,26801e+001	        -1,25732e-002	        +6,33000e+001	        +1,84100e+001
  01:30:00	01/06/2019	 738898200	   01:23:28	 01/06/2019	     3	        +0,00000e+000	        +1,00105e+002	        +1,56641e+001	        +2,79163e+002	        +0,00000e+000	        +5,75311e+000	        +3,11829e+000	        +9,13934e+002	        +2,50183e+000	        +2,50122e+000	        +2,50061e+000	        +2,50183e+000	        +1,26819e+001	        -1,19629e-002	        +6,34000e+001	        +1,83200e+001
